name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,cluster,cluster_name
Nu-i ușor frumoasă Doamnă,0.511,0.277,-14.955,0.0701,0.974,0.0013,0.745,0.515,124.499,romanian rock,2,Chill / Soft
"Frumoasa mea, eu te ador",0.545,0.215,-14.39,0.0475,0.995,0.00457,0.489,0.463,112.88,romanian rock,2,Chill / Soft
În ochii tăi fermecători,0.442,0.278,-10.947,0.0364,0.98,1.1e-05,0.104,0.448,111.174,romanian rock,2,Chill / Soft
"Jyra, jyra",0.602,0.249,-12.322,0.0459,0.995,2.54e-06,0.383,0.595,116.068,romanian rock,2,Chill / Soft
Nu-mi mai cântă nimenea la geam,0.513,0.289,-14.234,0.0502,0.963,0.0283,0.17,0.522,114.017,romanian rock,2,Chill / Soft
Minte-mă,0.419,0.344,-14.789,0.131,0.989,0.894,0.347,0.712,106.076,romanian rock,2,Chill / Soft
Ochii tăi m-au vrăjit,0.424,0.218,-15.493,0.0482,0.994,0.00012,0.426,0.549,104.223,romanian rock,2,Chill / Soft
Nușa,0.623,0.211,-14.033,0.0549,0.996,0.499,0.27,0.358,113.187,romanian rock,2,Chill / Soft
E vina ta,0.605,0.25,-12.899,0.0596,0.989,3.76e-06,0.347,0.489,113.224,romanian rock,2,Chill / Soft
M-am îndrăgostit de-o stea,0.485,0.266,-14.605,0.045,0.873,1.02e-06,0.166,0.667,119.831,romanian rock,2,Chill / Soft
Mâine,0.554,0.254,-12.788,0.0488,0.949,6.17e-05,0.314,0.663,107.074,romanian rock,2,Chill / Soft
Într'o noapte cu lună,0.498,0.191,-14.589,0.0585,0.977,0.000376,0.148,0.425,120.876,romanian rock,2,Chill / Soft
La revedere,0.474,0.262,-13.966,0.0501,0.977,0.000484,0.326,0.502,113.81,romanian rock,2,Chill / Soft
Ilona,0.393,0.256,-15.191,0.0368,0.993,0.151,0.339,0.33,110.998,romanian rock,2,Chill / Soft
Garoafa ce mi-am pus la butonieră,0.469,0.338,-12.58,0.0616,0.98,0.0,0.184,0.509,117.334,romanian rock,2,Chill / Soft
Iubește-mă!,0.353,0.198,-16.085,0.0655,0.995,0.0021,0.247,0.239,80.92,romanian rock,2,Chill / Soft
Numai plange Baby,0.547,0.275,-13.141,0.0436,0.989,0.00272,0.388,0.58,89.882,romanian rock,2,Chill / Soft
E primăvară,0.505,0.299,-12.25,0.0404,0.974,0.103,0.303,0.518,109.379,romanian rock,2,Chill / Soft
Sa pui ca semn o floare la fereastra,0.31,0.219,-12.081,0.053,0.987,0.037,0.342,0.434,168.528,romanian rock,2,Chill / Soft
Pe cer s-a stins o singură stea,0.355,0.485,-8.992,0.0509,0.937,0.0,0.336,0.461,119.299,romanian rock,2,Chill / Soft
Pentru tine am făcut nebunii,0.491,0.233,-12.974,0.0436,0.995,0.0232,0.293,0.476,115.06,romanian rock,2,Chill / Soft
O nu m'abandona,0.259,0.221,-14.721,0.0597,0.984,9.68e-05,0.198,0.0862,173.856,romanian rock,2,Chill / Soft
Să nu te temi de un sărut,0.691,0.275,-13.854,0.0621,0.989,5.5e-05,0.222,0.563,113.484,romanian rock,2,Chill / Soft
Plâng trei corzi de balalaică,0.461,0.204,-15.79,0.0534,0.98,0.0292,0.156,0.514,77.908,romanian rock,2,Chill / Soft
Dacă mâine vinovată,0.651,0.257,-13.455,0.0595,0.99,8.72e-06,0.307,0.632,107.565,romanian rock,2,Chill / Soft
Terraplane Blues,0.531,0.282,-12.26,0.0531,0.853,0.00189,0.137,0.557,189.748,,2,Chill / Soft
We Got to Get Together,0.64,0.269,-9.421,0.0553,0.809,7.22e-06,0.0869,0.852,165.957,,2,Chill / Soft
Three Women Blues,0.483,0.323,-11.208,0.0711,0.809,0.129,0.332,0.606,168.788,,2,Chill / Soft
Sweet Man Blues,0.466,0.263,-14.673,0.0803,0.978,0.00649,0.346,0.664,183.554,,2,Chill / Soft
Aș vrea ca să găsesc o fată,0.406,0.363,-12.328,0.0405,0.936,0.0,0.601,0.557,118.327,romanian rock,2,Chill / Soft
Garufa,0.656,0.186,-14.459,0.0758,0.948,6.59e-06,0.299,0.519,117.787,romanian rock,2,Chill / Soft
Vecina mea de vis-a-vis,0.667,0.47,-12.021,0.049,0.982,0.0,0.531,0.876,125.218,romanian rock,2,Chill / Soft
Când sunt vesel eu fluier,0.552,0.187,-16.348,0.184,0.984,0.00471,0.169,0.588,155.266,romanian rock,2,Chill / Soft
Dă-mi gurița s-o sărut,0.636,0.278,-9.553,0.047,0.994,0.000234,0.288,0.308,108.395,romanian rock,2,Chill / Soft
Cu două roze și un sărut,0.435,0.178,-15.44,0.0526,0.99,0.0,0.146,0.425,110.21,romanian rock,2,Chill / Soft
Gigolo,0.536,0.411,-14.542,0.061,0.955,0.0,0.415,0.456,120.443,romanian rock,2,Chill / Soft
Colega noastră,0.878,0.304,-12.734,0.0593,0.987,5.52e-06,0.0738,0.75,122.894,romanian rock,2,Chill / Soft
Ertare,0.499,0.29,-12.931,0.244,0.904,0.0,0.388,0.464,80.897,romanian rock,2,Chill / Soft
Călugărul din vechiul schit,0.159,0.265,-10.031,0.0348,0.985,0.858,0.206,0.181,169.985,romanian rock,2,Chill / Soft
La telefon,0.646,0.304,-14.052,0.0499,0.99,0.433,0.0627,0.83,117.243,romanian rock,2,Chill / Soft
Aşteaptă-mă,0.454,0.229,-13.552,0.0348,0.963,0.00331,0.103,0.541,108.96,romanian rock,2,Chill / Soft
Ai să iubești odată şi tu,0.359,0.369,-11.944,0.0459,0.995,0.197,0.254,0.418,112.487,romanian rock,2,Chill / Soft
În grădina inimii,0.201,0.327,-13.316,0.0607,0.946,0.0,0.473,0.221,76.004,romanian rock,2,Chill / Soft
Ași voi să te iert,0.578,0.36,-13.607,0.0863,0.966,0.0,0.854,0.5,121.595,romanian rock,1,Rap / Spoken
C-un buchetel de trandafiri,0.436,0.216,-15.916,0.0556,0.976,3.43e-06,0.111,0.338,99.302,romanian rock,2,Chill / Soft
Noapte bună mimi,0.354,0.423,-10.548,0.0475,0.988,0.142,0.177,0.266,63.054,romanian rock,2,Chill / Soft
Minciuna,0.266,0.29,-13.425,0.0603,0.927,0.0,0.17,0.318,77.966,romanian rock,2,Chill / Soft
"Lili, lulu, lola, lala",0.61,0.325,-11.945,0.0399,0.98,7.19e-05,0.14,0.788,123.196,romanian rock,2,Chill / Soft
Mai spune-mi înc-odată,0.547,0.336,-11.918,0.09,0.995,0.672,0.121,0.481,111.535,romanian rock,2,Chill / Soft
Norocul meu esti tu,0.366,0.245,-14.853,0.0434,0.986,9.72e-06,0.418,0.426,130.943,romanian rock,2,Chill / Soft
"Mamă, eu vreau să mă'nsor",0.523,0.279,-12.051,0.165,0.961,0.0,0.358,0.566,121.0,romanian rock,2,Chill / Soft
Numai tu știi să săruți,0.567,0.38,-9.87,0.0563,0.994,0.843,0.107,0.513,122.991,romanian rock,2,Chill / Soft
Toate trec,0.507,0.149,-14.837,0.051,0.989,0.00371,0.125,0.491,83.547,romanian rock,2,Chill / Soft
Nevasta mea,0.751,0.269,-11.565,0.167,0.978,0.000537,0.164,0.602,117.603,romanian rock,2,Chill / Soft
Vei fi a mea,0.469,0.225,-10.925,0.036,0.978,4.42e-06,0.317,0.37,125.261,romanian rock,2,Chill / Soft
Sărutarea de adio,0.213,0.289,-14.809,0.0611,0.994,0.873,0.16,0.482,72.285,romanian rock,2,Chill / Soft
Ți-e dată inima,0.486,0.273,-13.1,0.0348,0.972,0.0,0.393,0.363,122.835,romanian rock,2,Chill / Soft
Uitarea să m'adoarmă,0.581,0.294,-12.2,0.0714,0.96,0.0,0.532,0.618,128.288,romanian rock,2,Chill / Soft
Tu nu mai ești a mea,0.376,0.358,-11.564,0.0382,0.994,0.846,0.124,0.39,112.462,romanian rock,2,Chill / Soft
Tot ce-i românesc nu piere,0.491,0.124,-14.531,0.0492,0.992,0.00128,0.236,0.554,120.977,romanian rock,2,Chill / Soft
Vrei să ne-ntâlnim sâmbătă seara,0.576,0.36,-11.706,0.103,0.988,0.255,0.285,0.644,115.971,romanian rock,2,Chill / Soft
Te aștept la 5,0.57,0.204,-12.451,0.0397,0.969,5.63e-05,0.116,0.557,116.949,romanian rock,2,Chill / Soft
"Nu vreau lacrimi, nici cuvinte",0.364,0.308,-11.328,0.0415,0.991,0.221,0.351,0.369,127.59,romanian rock,2,Chill / Soft
Micuta scumpa,0.386,0.318,-13.376,0.0485,0.991,0.152,0.306,0.545,111.929,romanian rock,2,Chill / Soft
Te aștept diseară-n cișmigiu,0.338,0.209,-15.626,0.0853,0.973,0.0114,0.121,0.341,81.86,romanian rock,2,Chill / Soft
"Mână, birjar!",0.321,0.165,-16.782,0.0454,0.995,0.637,0.181,0.218,92.934,romanian rock,2,Chill / Soft
În ţara -n care m-am născut,0.291,0.399,-10.31,0.0375,0.952,0.000286,0.211,0.317,100.126,romanian rock,2,Chill / Soft
Dacă ai fi ginger rogers și eu fred astaire,0.579,0.283,-12.86,0.184,0.992,0.0258,0.0874,0.755,155.187,romanian rock,2,Chill / Soft
Vegrinada,0.575,0.524,-8.616,0.0594,0.989,0.847,0.21,0.948,130.256,greek clarinet,2,Chill / Soft
Militsa,0.529,0.519,-11.737,0.0502,0.986,0.918,0.101,0.933,96.467,greek clarinet,2,Chill / Soft
Platanos,0.617,0.447,-9.619,0.0428,0.941,0.337,0.172,0.814,104.987,greek clarinet,2,Chill / Soft
Ston apano Pirgo,0.52,0.497,-8.257,0.0543,0.989,0.714,0.097,0.948,91.561,greek clarinet,2,Chill / Soft
Sto pera maxala,0.584,0.369,-8.624,0.0731,0.987,0.821,0.0912,0.685,139.152,greek clarinet,2,Chill / Soft
Agorousa,0.592,0.534,-8.774,0.0489,0.992,0.903,0.0718,0.919,131.291,greek clarinet,2,Chill / Soft
Mantikounita,0.518,0.508,-8.211,0.0396,0.991,0.944,0.196,0.885,125.248,greek clarinet,2,Chill / Soft
Lapatra Tzitzi marmara,0.585,0.5,-7.417,0.0554,0.989,0.889,0.0931,0.922,85.886,greek clarinet,2,Chill / Soft
Svarniara,0.391,0.418,-8.165,0.0358,0.984,0.947,0.299,0.578,127.599,greek clarinet,2,Chill / Soft
Vouna mou xalilosete,0.524,0.642,-8.062,0.035,0.873,0.962,0.292,0.779,127.895,greek clarinet,2,Chill / Soft
Geitonissa,0.503,0.47,-10.893,0.0383,0.986,0.935,0.264,0.932,117.099,greek clarinet,2,Chill / Soft
Agginara,0.595,0.587,-5.927,0.0405,0.979,0.908,0.274,0.949,108.834,greek clarinet,2,Chill / Soft
Gia mia Lidorikiotissa,0.555,0.627,-7.196,0.0354,0.932,0.925,0.326,0.86,111.17,greek clarinet,2,Chill / Soft
"Kalamatianos, solo klarino",0.627,0.431,-11.14,0.0547,0.994,0.956,0.115,0.97,121.776,greek clarinet,2,Chill / Soft
"Verginada, solo klarino",0.575,0.524,-8.616,0.0594,0.989,0.847,0.21,0.948,130.256,greek clarinet,2,Chill / Soft
"Militsa, solo klarino",0.529,0.519,-11.737,0.0502,0.986,0.918,0.101,0.933,96.467,greek clarinet,2,Chill / Soft
"Mantikoynika tagapsi, solo klarino",0.518,0.508,-8.211,0.0396,0.991,0.944,0.196,0.885,125.248,greek clarinet,2,Chill / Soft
"Svarniara, solo klarino",0.391,0.418,-8.165,0.0358,0.984,0.947,0.299,0.578,127.599,greek clarinet,2,Chill / Soft
"La patroy tzintzi marmari, solo klarino",0.585,0.5,-7.417,0.0554,0.989,0.889,0.0931,0.922,85.886,greek clarinet,2,Chill / Soft
"Pera ston pera maxala, solo klarino",0.584,0.369,-8.624,0.0731,0.987,0.821,0.0912,0.685,139.152,greek clarinet,2,Chill / Soft
"Ston apano pyrgo, solo klarino",0.52,0.497,-8.257,0.0543,0.989,0.714,0.097,0.948,91.561,greek clarinet,2,Chill / Soft
Arvanitovlaxiko vathi,0.518,0.445,-10.672,0.0403,0.993,0.909,0.39,0.936,118.967,greek clarinet,2,Chill / Soft
Ce știi tu ce-i dragostea,0.351,0.527,-9.731,0.0482,0.973,0.000112,0.221,0.448,121.105,muzica populara,2,Chill / Soft
Dacă m-ai iubi... Doar un pic,0.516,0.283,-14.035,0.0682,0.973,0.000823,0.119,0.872,161.676,muzica populara,2,Chill / Soft
Parcă ieri ne-am iubit,0.419,0.299,-13.623,0.0491,0.993,0.0113,0.0961,0.635,118.674,muzica populara,2,Chill / Soft
Laie chiorul,0.357,0.432,-10.943,0.13,0.971,3.35e-06,0.265,0.62,64.378,muzica populara,2,Chill / Soft
Mi-e dor de acasă,0.318,0.23,-15.914,0.0403,0.995,0.00659,0.358,0.373,113.897,muzica populara,2,Chill / Soft
"Ionel, ionelule",0.407,0.565,-10.29,0.0534,0.768,0.000228,0.0853,0.803,136.724,muzica populara,2,Chill / Soft
Ο γιατρός χτυπάει την πόρτα,0.739,0.237,-12.395,0.039,0.995,0.854,0.182,0.691,77.255,rebetiko,2,Chill / Soft
Aptaliko,0.824,0.588,-9.011,0.0376,0.8,0.0314,0.0667,0.829,107.157,rebetiko,0,Party / Energetic
Ce faci astă seară tu?,0.453,0.214,-13.039,0.0566,0.994,0.00338,0.384,0.427,109.792,muzica populara,2,Chill / Soft
Rosiniolita,0.587,0.398,-11.596,0.0475,0.978,0.00534,0.0844,0.742,117.907,muzica populara,2,Chill / Soft
Η τελευταία χαραυγή,0.632,0.2,-13.399,0.168,0.985,2.2e-05,0.103,0.745,118.714,"laiko, rebetiko",2,Chill / Soft
Na 'Ha Ekato Kardies,0.692,0.44,-8.18,0.0424,0.648,0.0,0.0552,0.901,91.322,"laiko, rebetiko",0,Party / Energetic
Si Mou Haraxes Poria,0.44,0.349,-7.299,0.0412,0.927,0.0,0.0483,0.586,79.534,"laiko, rebetiko",2,Chill / Soft
Giati Thes Na Figis,0.655,0.431,-8.058,0.0307,0.804,0.000583,0.249,0.965,95.268,"laiko, rebetiko",0,Party / Energetic
Girna Pali Girna,0.409,0.396,-8.685,0.0649,0.786,0.000144,0.126,0.911,174.498,"laiko, rebetiko",0,Party / Energetic
Nihtose Horis Feggari,0.599,0.352,-6.928,0.0341,0.706,1.74e-06,0.0724,0.596,126.099,"laiko, rebetiko",2,Chill / Soft
Sheik of Araby - Remastered,0.844,0.721,-5.017,0.0499,0.877,0.251,0.508,0.93,121.997,western swing,0,Party / Energetic
Allá en el Rancho Grande - Remastered,0.483,0.56,-12.042,0.136,0.085,0.46,0.183,0.651,125.98,western swing,0,Party / Energetic
Ο Κωνσταντής,0.398,0.364,-11.186,0.0301,0.957,0.0,0.311,0.722,142.718,rebetiko,2,Chill / Soft
Nostalgia,0.552,0.337,-17.641,0.0314,0.993,0.688,0.412,0.766,77.061,rebetiko,2,Chill / Soft
Parapono,0.521,0.429,-17.734,0.0452,0.986,0.892,0.212,0.707,142.183,rebetiko,2,Chill / Soft
Tha do kai ta xairia sou,0.545,0.39,-18.454,0.0597,0.986,0.0307,0.342,0.935,87.92,rebetiko,2,Chill / Soft
Ένας λεβέντης πέθανε,0.574,0.259,-11.573,0.0775,0.978,0.00103,0.304,0.81,117.502,rebetiko,2,Chill / Soft
Anapse To Tsigaro,0.703,0.565,-8.72,0.101,0.303,0.0,0.0473,0.948,135.731,rebetiko,0,Party / Energetic
To Vouno,0.475,0.483,-6.299,0.0354,0.876,0.000436,0.336,0.699,115.506,rebetiko,2,Chill / Soft
Gia Kita Kosme,0.692,0.742,-6.781,0.0372,0.844,0.000116,0.0487,0.971,138.445,rebetiko,0,Party / Energetic
O Skliros Horismos,0.59,0.509,-8.31,0.0329,0.843,0.0,0.0958,0.791,139.037,rebetiko,0,Party / Energetic
Piroulirouli,0.426,0.223,-15.16,0.0485,0.922,0.614,0.259,0.353,121.284,vintage chanson,2,Chill / Soft
Jeu De Massacre,0.626,0.052,-19.774,0.087,0.988,4.64e-06,0.107,0.354,85.683,cabaret,2,Chill / Soft
Le Petit Train Départemental,0.801,0.46,-12.901,0.0476,0.994,0.122,0.182,0.935,112.486,vintage chanson,2,Chill / Soft
Tout Comme Un Homme,0.565,0.134,-15.042,0.13,0.98,0.0,0.0995,0.415,91.431,vintage chanson,2,Chill / Soft
O Christmas Tree,0.63,0.198,-17.561,0.0448,0.96,0.881,0.0717,0.322,131.041,jazz guitar,2,Chill / Soft
Seu Condutor,0.713,0.628,-7.824,0.0548,0.95,0.091,0.353,0.917,130.675,sertanejo tradicional,0,Party / Energetic
Você Não Era Assim,0.708,0.328,-13.163,0.0888,0.995,0.0705,0.146,0.932,119.991,sertanejo tradicional,2,Chill / Soft
Itália e Abissínia,0.617,0.115,-13.284,0.254,0.994,0.0259,0.137,0.77,94.599,sertanejo tradicional,2,Chill / Soft
Sinhá Rita,0.598,0.0807,-17.286,0.0641,0.994,0.198,0.119,0.498,138.058,sertanejo tradicional,2,Chill / Soft
Moda do Solteirão,0.689,0.272,-6.829,0.453,0.987,0.0,0.116,0.313,139.016,sertanejo tradicional,2,Chill / Soft
A Moda dos Meses,0.849,0.157,-15.615,0.148,0.995,0.303,0.123,0.662,92.87,sertanejo tradicional,2,Chill / Soft
Violeiro Triste,0.577,0.142,-16.75,0.0984,0.991,0.753,0.351,0.528,67.45,sertanejo tradicional,2,Chill / Soft
Boi Amarelinho,0.636,0.108,-15.197,0.0881,0.996,0.0492,0.133,0.3,85.657,sertanejo tradicional,2,Chill / Soft
Caboclo Viajado,0.569,0.135,-15.726,0.124,0.993,0.0,0.113,0.53,75.517,sertanejo tradicional,2,Chill / Soft
Itália e Abissínia,0.617,0.115,-13.284,0.254,0.994,0.0259,0.137,0.77,94.599,sertanejo tradicional,2,Chill / Soft
Devo e Não Nego,0.755,0.242,-16.346,0.188,0.993,0.0611,0.275,0.632,161.306,sertanejo tradicional,2,Chill / Soft
Sinhá Rita,0.598,0.0807,-17.286,0.0641,0.994,0.198,0.119,0.498,138.058,sertanejo tradicional,2,Chill / Soft
Moda do Beijo,0.772,0.182,-17.529,0.455,0.986,0.0,0.13,0.844,145.699,sertanejo tradicional,2,Chill / Soft
Seu Condutor,0.843,0.592,-9.665,0.0634,0.905,0.0,0.331,0.945,131.193,sertanejo tradicional,0,Party / Energetic
The More I See You,0.351,0.172,-18.572,0.0531,0.971,0.92,0.177,0.849,169.256,ballroom,2,Chill / Soft
El Gaucho,0.514,0.177,-15.623,0.0342,0.814,0.598,0.109,0.682,133.473,ballroom,2,Chill / Soft
Try a Little Tenderness,0.538,0.131,-20.279,0.0492,0.989,0.933,0.124,0.743,116.366,ballroom,2,Chill / Soft
9.20 Special,0.669,0.232,-18.207,0.0508,0.972,0.783,0.107,0.713,175.437,ballroom,2,Chill / Soft
Life is Just a Bowl of Cherries / Charmaine / Dancing Time,0.557,0.203,-18.476,0.0472,0.97,0.642,0.199,0.731,100.964,ballroom,2,Chill / Soft
Stars Over Rio,0.446,0.351,-15.579,0.035,0.486,0.00947,0.651,0.656,77.412,ballroom,2,Chill / Soft
Boa Noite (Goodnight),0.598,0.129,-20.533,0.0462,0.966,0.428,0.132,0.811,90.389,ballroom,2,Chill / Soft
Until Tomorrow,0.785,0.174,-19.085,0.0445,0.987,0.879,0.0936,0.902,97.85,ballroom,2,Chill / Soft
Have You Forgotten So Soon?,0.719,0.0303,-24.333,0.0392,0.995,0.895,0.151,0.369,104.941,ballroom,2,Chill / Soft
The One I Love,0.603,0.086,-23.797,0.0615,0.989,0.723,0.0987,0.768,111.629,ballroom,2,Chill / Soft
I Was Saying to the Moon,0.651,0.0814,-20.981,0.0452,0.991,0.836,0.125,0.514,121.38,ballroom,2,Chill / Soft
South Sea Island Magic,0.627,0.114,-20.966,0.0556,0.992,0.926,0.135,0.489,121.078,ballroom,2,Chill / Soft
Marta (Rambling Rose of the Wildwood),0.499,0.155,-18.062,0.0517,0.99,0.919,0.361,0.487,116.703,ballroom,2,Chill / Soft
Tennessee Waltz,0.499,0.0795,-21.72,0.0383,0.992,0.849,0.148,0.612,92.94,ballroom,2,Chill / Soft
That Lovely Weekend,0.559,0.164,-17.868,0.0479,0.991,0.856,0.16,0.591,112.386,ballroom,2,Chill / Soft
The Lady is a Tramp,0.632,0.125,-21.01,0.0524,0.994,0.876,0.333,0.739,98.158,ballroom,2,Chill / Soft
St Bernard Waltz,0.553,0.0464,-21.325,0.0425,0.989,0.0745,0.113,0.707,157.511,ballroom,2,Chill / Soft
My Love's a Gentle Man,0.578,0.15,-18.701,0.0352,0.985,0.504,0.115,0.77,93.119,ballroom,2,Chill / Soft
The Veleta,0.562,0.0753,-21.324,0.0377,0.988,0.0652,0.0626,0.646,81.776,ballroom,2,Chill / Soft
Domino,0.431,0.0812,-22.135,0.0358,0.99,0.964,0.117,0.428,94.235,ballroom,2,Chill / Soft
My Favourite Song,0.498,0.119,-20.542,0.0456,0.986,0.286,0.189,0.691,122.098,ballroom,2,Chill / Soft
El Banderillo,0.755,0.288,-15.026,0.0507,0.976,0.909,0.0966,0.84,138.075,ballroom,2,Chill / Soft
We'll Find a Way,0.611,0.157,-17.139,0.0354,0.994,0.857,0.133,0.857,94.075,ballroom,2,Chill / Soft
You Took Advantage of Me,0.767,0.242,-15.534,0.0479,0.933,0.808,0.385,0.853,126.157,ballroom,2,Chill / Soft
Chique - Remastered,0.75,0.162,-16.938,0.225,0.995,0.858,0.209,0.685,127.169,orquesta tipica,2,Chill / Soft
Bumble Boogie,0.533,0.561,-10.483,0.0296,0.849,0.857,0.0737,0.534,97.816,big band,2,Chill / Soft
Pistol Packin' Mama,0.755,0.28,-12.593,0.248,0.911,0.00348,0.0664,0.975,204.306,country boogie,0,Party / Energetic
Boogie Woogie Man,0.56,0.81,-11.058,0.0362,0.977,0.928,0.279,0.971,91.672,boogie-woogie,2,Chill / Soft
Barrelhouse Boogie,0.574,0.535,-13.002,0.0358,0.986,0.842,0.124,0.964,148.758,boogie-woogie,2,Chill / Soft
"Symphony No. 2 in D Major, Op. 36: I. Adagio Molto-Allegro Con Brio",0.437,0.234,-13.353,0.032,0.953,0.731,0.0584,0.244,103.212,orchestral performance,2,Chill / Soft
"Symphony No.2 in D Major, Op. 36: IV. Allegro Molto",0.374,0.206,-14.148,0.0435,0.959,0.89,0.314,0.346,139.792,orchestral performance,2,Chill / Soft
"Symphony No.2 in D Major, Op. 36: III. Scherzo (Allegro) & Trio",0.565,0.116,-15.341,0.0415,0.961,0.839,0.0746,0.553,132.573,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": V. Angus Dei - Angus Dei",0.149,0.23,-16.483,0.0411,0.984,0.425,0.14,0.0384,94.64,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": IV. Sanctus - Sanctus",0.102,0.131,-17.689,0.037,0.905,0.383,0.652,0.112,83.997,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": IV. Sanctus - Benedictus",0.204,0.256,-18.183,0.0435,0.971,0.0233,0.329,0.0905,132.904,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": II. Gloria - Quoniam Tu Solus Sanctus",0.277,0.248,-15.556,0.032,0.936,0.425,0.0845,0.241,109.229,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": II. Gloria - Gloria In Excelsis Deo",0.171,0.224,-17.687,0.0378,0.941,0.0102,0.14,0.107,85.028,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Miss Solemnis"": III. Credo - Et Resurrexit",0.196,0.342,-14.64,0.037,0.964,0.0411,0.186,0.149,89.367,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": V. Angus Dei - Dona Nobis Pacem",0.205,0.361,-15.205,0.0546,0.948,0.538,0.699,0.143,75.373,orchestral performance,2,Chill / Soft
"Symphony No.2 in D Major, Op. 36: II. Larghetto",0.295,0.0321,-18.373,0.0347,0.986,0.681,0.116,0.132,71.538,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": I. Kyrie",0.109,0.209,-17.386,0.0418,0.971,0.293,0.462,0.0855,85.143,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": II. Gloria - Qui Tollis Peccata Mundi",0.159,0.215,-19.532,0.0414,0.986,0.038,0.122,0.0671,80.264,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Miss Solemnis"": III. Credo - Et Incarnatus Est",0.141,0.186,-20.493,0.0398,0.973,0.105,0.0868,0.068,78.288,orchestral performance,2,Chill / Soft
"Mass in D Major, Op. 123 ""Missa Solemnis"": III. Credo - Credo In Unum Deum",0.261,0.316,-13.249,0.0358,0.974,0.0766,0.363,0.14,112.116,orchestral performance,2,Chill / Soft
Njana Kann Kondu,0.409,0.265,-12.055,0.0677,0.994,0.105,0.283,0.638,174.38,carnatic,2,Chill / Soft
Raadhe Unakku,0.72,0.409,-6.349,0.04,0.961,2.91e-06,0.125,0.571,98.988,carnatic,2,Chill / Soft
Sinam Kaamam,0.459,0.368,-7.842,0.0903,0.954,0.766,0.659,0.628,103.029,carnatic,2,Chill / Soft
Orunaal Oru Pozhudhu,0.357,0.555,-11.32,0.0431,0.816,0.0975,0.66,0.675,104.057,carnatic,2,Chill / Soft
Unnai Kandu,0.395,0.517,-8.951,0.139,0.924,0.0248,0.626,0.723,84.996,carnatic,2,Chill / Soft
Chidhambara Naadha,0.446,0.488,-9.769,0.0431,0.771,0.0142,0.834,0.744,90.803,carnatic,1,Rap / Spoken
Sathvaguna Bothan,0.425,0.337,-9.617,0.0299,0.988,0.83,0.326,0.695,63.248,carnatic,2,Chill / Soft
Maanila Vaazhvu,0.356,0.422,-8.276,0.0398,0.994,0.557,0.405,0.847,87.828,carnatic,2,Chill / Soft
Manamae Nee,0.397,0.455,-11.993,0.0338,0.955,0.274,0.423,0.77,78.775,carnatic,2,Chill / Soft
Eesan Kaanmino,0.383,0.329,-13.138,0.0363,0.994,0.96,0.106,0.559,128.811,carnatic,2,Chill / Soft
"Bhoomiyil Maanida, Pt. 1",0.34,0.417,-12.648,0.0424,0.977,0.0656,0.0665,0.848,83.314,carnatic,2,Chill / Soft
Un Azhagai Kaana,0.651,0.506,-6.869,0.051,0.893,0.0051,0.382,0.896,138.972,carnatic,0,Party / Energetic
Deenakarunakaranae,0.517,0.569,-8.429,0.0382,0.88,0.329,0.159,0.92,87.476,carnatic,2,Chill / Soft
Van Pasi Pini,0.508,0.307,-9.644,0.0477,0.984,0.75,0.228,0.756,64.603,carnatic,2,Chill / Soft
Saraasaraangal,0.635,0.467,-9.689,0.0519,0.8,0.185,0.0911,0.926,112.849,carnatic,0,Party / Energetic
Pavazha Maal,0.278,0.398,-12.959,0.0339,0.967,0.095,0.631,0.596,75.415,carnatic,2,Chill / Soft
Ullam Kavarum,0.417,0.474,-8.832,0.0499,0.993,0.739,0.409,0.823,92.118,carnatic,2,Chill / Soft
Maraivaai Puthaindha,0.575,0.422,-8.752,0.0568,0.963,1.8e-06,0.551,0.698,85.655,carnatic,2,Chill / Soft
Dhianame Nee,0.376,0.428,-12.681,0.0372,0.942,0.0811,0.53,0.877,127.903,carnatic,2,Chill / Soft
Kidayaathu Vaazhvinile,0.446,0.493,-6.184,0.0472,0.987,0.956,0.732,0.819,137.965,carnatic,2,Chill / Soft
Vallalalai Paadum Vaayaal,0.422,0.477,-12.02,0.037,0.944,0.606,0.134,0.834,89.673,carnatic,2,Chill / Soft
Sithaye Ye Sithaye,0.393,0.286,-7.937,0.0361,0.969,4.27e-05,0.372,0.502,121.269,carnatic,2,Chill / Soft
Mannam Kanindhae,0.443,0.477,-6.887,0.0495,0.873,0.0401,0.828,0.765,131.057,carnatic,2,Chill / Soft
